"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 21 18:44:50 CST 2019","Sun Jul 21 18:44:51 CST 2019","1563","pytestloc.test_case","test_login_3","TestLoginCheck","","","testcase2",""
"passed","Sun Jul 21 18:44:48 CST 2019","Sun Jul 21 18:44:50 CST 2019","1724","pytestloc.test_case","test_login_3","TestLoginCheck","","","testcase1",""
